,,,,,,,,
,,Sales Person,Geography,Product,Date,Amount,Customers,Boxes
,,Barr Faughny,  New Zealand,Raspberry Choco,1/1/2021,"$8,414 ",276,495
,,Dennison Crosswaite,   Canada,White Choc,1/1/2021,$532 ,317,54
,,Karlen McCaffrey,   USA,99% Dark & Pure,1/1/2021,"$5,376 ",178,269
,,Barr Faughny,New Zealand,Baker's Choco Chips,1/1/2021,$259 ,32,22
,,Beverie Moffet,   USA,Manuka Honey Choco,1/1/2021,"$5,530 ",4,179
,,Rafaelita Blaksland,   India,85% Dark Bars,1/1/2021,"$2,184 ",63,122
,,Oby Sorrel,   UK,Raspberry Choco,1/1/2021,"$1,057 ",295,71
,,Dotty Strutley,  Australia,Organic Choco Syrup,1/1/2021,"$1,036 ",370,37
,,Brien Boise,  Australia,Caramel Stuffed Bars,1/1/2021,"$4,039 ",536,176
,,Curtice Advani,New Zealand,Milk Bars,1/1/2021,"$12,894 ",115,478
,,Madelene Upcott, USA,Milk Bars,1/1/2021,"$4,669 ",121,180
,,Wilone O'Kielt,   New Zealand,Organic Choco Syrup,1/1/2021,"$6,377 ",184,246
,,Jehu Rudeforth,   Canada,Mint Chip Choco,1/1/2021,"$4,599 ",106,256
,,Jehu Rudeforth,USA,Orange Choco,1/1/2021,"$2,751 ",228,251
,,Brien Boise,  India,Eclairs,1/1/2021,"$15,596 ",32,975
,,Curtice Advani,   India,After Nines,1/1/2021,"$8,561 ",111,330
,,Camilla Castle, UK,Mint Chip Choco,1/1/2021,"$14,273 ",335,752
,,Dennison Crosswaite, New Zealand,85% Dark Bars,1/1/2021,"$2,506 ",99,148
,,Beverie Moffet,Canada,Spicy Special Slims,1/1/2021,"$2,387 ",134,89
,,Andria Kimpton,   USA,Drinking Coco,1/1/2021,"$7,553 ",67,280
,,Jehu Rudeforth,   New Zealand,Peanut Butter Cubes,1/1/2021,"$3,409 ",93,171
,,Kelci Walkden,   USA,Peanut Butter Cubes,1/1/2021,"$3,878 ",24,216
,,Karlen McCaffrey,  USA,Raspberry Choco,1/1/2021,"$3,052 ",76,204
,,Madelene Upcott, USA,Choco Coated Almonds,4/1/2021,"$19,229 ",64,1013
,,Kelci Walkden,  UK,Choco Coated Almonds,4/1/2021,"$1,988 ",179,95
,,Karlen McCaffrey,UK,Orange Choco,4/1/2021,$147 ,9,11
,,Oby Sorrel,  UK,Fruit & Nut Bars,4/1/2021,"$2,401 ",407,134
,,Husein Augar,   USA,Caramel Stuffed Bars,4/1/2021,"$2,814 ",296,94
,,Curtice Advani,  UK,Caramel Stuffed Bars,4/1/2021,"$5,390 ",61,216
,,Van Tuxwell,Canada,50% Dark Bites,4/1/2021,"$3,920 ",16,262
,,Beverie Moffet,Canada,70% Dark Bites,4/1/2021,"$7,539 ",502,943
,,Van Tuxwell,  India,Organic Choco Syrup,5/1/2021,"$17,248 ",163,664
,,Madelene Upcott,  UK,Almond Choco,5/1/2021,"$1,176 ",152,66
,,Rafaelita Blaksland, Australia,85% Dark Bars,5/1/2021,"$9,730 ",361,573
,,Marney O'Breen,   New Zealand,85% Dark Bars,5/1/2021,"$2,226 ",129,140
,,Madelene Upcott,UK,Fruit & Nut Bars,5/1/2021,"$7,063 ",250,643
,,Kaine Padly,New Zealand,After Nines,5/1/2021,"$7,399 ",420,275
,,Wilone O'Kielt, USA,Orange Choco,5/1/2021,"$4,284 ",230,306
,,Kaine Padly,   New Zealand,Raspberry Choco,5/1/2021,"$4,865 ",168,271
,,Curtice Advani,  New Zealand,70% Dark Bites,5/1/2021,"$3,780 ",111,315
,,Jan Morforth, India,Orange Choco,5/1/2021,"$3,059 ",484,279
,,Husein Augar,  UK,After Nines,5/1/2021,"$6,622 ",57,276
,,Wilone O'Kielt,India,Smooth Sliky Salty,6/1/2021,$644 ,116,34
,,Ches Bonnell,India,After Nines,6/1/2021,"$4,935 ",87,171
,,Jan Morforth,UK,Peanut Butter Cubes,6/1/2021,"$7,182 ",29,378
,,Andria Kimpton,   Australia,Orange Choco,6/1/2021,$539 ,10,77
,,Oby Sorrel,   UK,70% Dark Bites,6/1/2021,$637 ,79,91
,,Kaine Padly,USA,Baker's Choco Chips,6/1/2021,"$1,470 ",57,184
,,Brien Boise,  USA,85% Dark Bars,6/1/2021,"$1,442 ",108,61
,,Husein Augar,  USA,Smooth Sliky Salty,6/1/2021,"$9,023 ",224,564
,,Gunar Cockshoot, UK,Milk Bars,6/1/2021,"$2,709 ",27,101
,,Beverie Moffet,  Canada,Choco Coated Almonds,7/1/2021,"$5,733 ",193,338
,,Gigi Bohling, Canada,50% Dark Bites,7/1/2021,"$10,451 ",155,1307
,,Madelene Upcott,   India,Manuka Honey Choco,7/1/2021,"$11,228 ",236,388
,,Kelci Walkden,UK,Caramel Stuffed Bars,7/1/2021,"$3,073 ",137,129
,,Andria Kimpton,  Australia,85% Dark Bars,7/1/2021,"$5,467 ",109,288
,,Ches Bonnell,  USA,Smooth Sliky Salty,7/1/2021,"$4,067 ",272,226
,,Dennison Crosswaite,   India,Mint Chip Choco,8/1/2021,"$2,814 ",69,149
,,Roddy Speechley,New Zealand,Caramel Stuffed Bars,8/1/2021,"$2,716 ",299,105
,,Jehu Rudeforth,   Australia,Orange Choco,8/1/2021,"$3,570 ",61,325
,,Karlen McCaffrey, India,85% Dark Bars,8/1/2021,"$9,562 ",123,479
,,Rafaelita Blaksland,New Zealand,Peanut Butter Cubes,8/1/2021,"$2,373 ",2,104
,,Ches Bonnell, India,Caramel Stuffed Bars,8/1/2021,"$2,807 ",236,123
,,Brien Boise,  USA,Milk Bars,8/1/2021,$420 ,196,14
,,Curtice Advani,USA,Raspberry Choco,8/1/2021,"$8,239 ",157,515
,,Gigi Bohling,  New Zealand,50% Dark Bites,8/1/2021,"$6,797 ",114,486
,,Jehu Rudeforth,   New Zealand,85% Dark Bars,8/1/2021,"$6,048 ",56,319
,,Gigi Bohling,  Australia,Raspberry Choco,8/1/2021,$364 ,14,21
,,Beverie Moffet,Australia,White Choc,8/1/2021,"$6,496 ",15,406
,,Roddy Speechley,   USA,Orange Choco,8/1/2021,"$1,057 ",45,106
,,Ches Bonnell,   UK,Raspberry Choco,8/1/2021,$357 ,185,17
,,Ches Bonnell, Australia,Drinking Coco,8/1/2021,"$6,419 ",359,257
,,Ches Bonnell, Canada,Spicy Special Slims,8/1/2021,"$12,726 ",179,579
,,Marney O'Breen,USA,85% Dark Bars,11/1/2021,"$6,006 ",109,376
,,Kelci Walkden,UK,99% Dark & Pure,11/1/2021,"$5,124 ",33,285
,,Van Tuxwell, New Zealand,Milk Bars,11/1/2021,"$2,709 ",188,113
,,Barr Faughny,  Australia,Milk Bars,11/1/2021,"$7,238 ",67,315
,,Curtice Advani,  India,White Choc,12/1/2021,"$6,776 ",68,424
